Exchange,Type,Symbol,Name,Activity,Last Quote,Last Trade
AMEX,e,AAMC,Altisource Asset Mgmt Corp,,7/31/2020,7/31/2020
AMEX,e,AAU,"Almaden Minerals, Ltd",,7/31/2020,7/31/2020
AMEX,e,ACU,Acme United Corp,,7/31/2020,7/31/2020
AMEX,e,ACY,AeroCentury Corp,,7/31/2020,7/31/2020
AMEX,e,AE,"Adams Resources & Energy, Inc",,7/31/2020,7/31/2020
AMEX,e,AEF,"Aberdeen Emerging Markets, Inc",,7/31/2020,7/31/2020
AMEX,e,AGE,"AgeX Therapeutics, Inc. Common Stock",,7/31/2020,7/31/2020
AMEX,e,AIM,AIM ImmunoTech Inc.,,7/31/2020,7/31/2020
AMEX,e,AINC,"Ashford, Inc",,7/31/2020,7/31/2020
AMEX,e,AIRI,Air Industries Group,,7/31/2020,7/31/2020
AMEX,e,AKG,"Asanko Gold, Inc",,5/4/2020,5/4/2020
AMEX,e,ALO,"Alio Gold, Inc",,,
AMEX,e,AMBO,Ambow Education Holding Ltd ADS,,7/31/2020,7/31/2020
AMEX,e,AMPE,"Ampio Pharmaceuticals, Inc",,7/31/2020,7/31/2020
AMEX,e,AMS,American Shared Hospital Services,,7/31/2020,7/31/2020
AMEX,e,ANVS,"Annovis Bio, Inc.",,7/31/2020,7/31/2020
AMEX,e,APT,"Alpha Pro Tech, Ltd",,7/31/2020,7/31/2020
AMEX,e,ARMP,"Armata Pharmaceuticals, Inc.",,7/31/2020,7/31/2020
AMEX,e,ARNC.PR,Arconic PR,,,
AMEX,e,ASM,Avino Silver & Gold Mines,,7/31/2020,7/31/2020
AMEX,e,ATEST,Tick Pilot Test Control Common Stock,,,
AMEX,e,ATEST.A,Atest A,,,
AMEX,e,ATEST.B,Atest B,,,
AMEX,e,ATEST.C,Atest C,,7/31/2020,
AMEX,e,ATEST.G,Atest G,,7/31/2020,
AMEX,e,ATEST.H,Atest H,,,
AMEX,e,ATEST.L,Atest L,,,
AMEX,e,ATNM,"Actinium Pharmaceuticals, Inc",,7/31/2020,7/31/2020
AMEX,e,AUG,"Auryn Resources, Inc",,7/31/2020,7/31/2020
AMEX,e,AUMN,Golden Minerals Co,,7/31/2020,7/31/2020
AMEX,e,AWX,Avalon Holdings Corp,,7/31/2020,7/31/2020
AMEX,e,AXU,Alexco Resource,,7/31/2020,7/31/2020
AMEX,e,BATL,Battalion Oil Corporation,,7/31/2020,7/31/2020
AMEX,e,BCV,Bancroft Fund,,7/31/2020,7/31/2020
AMEX,e,BCV.PR.A,Bancroft Fund Ltd 5.375,,7/31/2020,7/31/2020
AMEX,e,BDL,"Flanigans Enterprises, Inc",,7/31/2020,7/31/2020
AMEX,e,BDR,"Blonder Tongue, Inc",,7/31/2020,7/31/2020
AMEX,e,BGI,"Birks Group, Inc",,7/31/2020,7/31/2020
AMEX,e,BHB,"Bar Harbor Bankshares, Inc",,7/31/2020,7/31/2020
AMEX,e,BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,,7/31/2020,7/31/2020
AMEX,e,BIOX.WS,Bioceres Crop Solutions Corp. Warrant,,7/31/2020,7/31/2020
AMEX,e,BKTI,"BK Technologies, Inc",,7/31/2020,7/31/2020
AMEX,e,BPMX,BioPharmX Corp,,5/18/2020,5/18/2020
AMEX,e,BRBS,"Blue Ridge Bankshares, Inc.",,7/31/2020,7/31/2020
AMEX,e,BRG,"Bluerock Residential Growth REIT, Inc",,7/31/2020,7/31/2020
AMEX,e,BRG.PR.A,"Bluerock Residential Growth REIT, Inc SER A",,7/31/2020,7/31/2020
AMEX,e,BRG.PR.C,"Bluerock Residential Growth REIT, Inc SER C",,,
AMEX,e,BRG.PR.D,"Bluerock Residential Growth REIT, Inc SER D",,7/31/2020,7/31/2020
AMEX,e,BRMK.WS,"Broadmark Realty Capital Inc. Warrants, each exercisable for one fourth (1/4th) share of at an exercise price of $2.875 per quarter share",,7/31/2020,7/31/2020
AMEX,e,BRN,"Barnwell Industries, Inc",,7/31/2020,7/31/2020
AMEX,e,BTG,B2 Gold Corp,,7/31/2020,7/31/2020
AMEX,e,BTN,"Ballantyne Strong, Inc",,7/31/2020,7/31/2020
AMEX,e,BWL.A,"Bowl America, Inc",,,7/31/2020
AMEX,e,CANF,CAN-Fite Biopharma Ltd ADR,,7/31/2020,7/31/2020
AMEX,e,CCC.WS,,,3/20/2020,3/20/2020
AMEX,e,CCF,Chase Corp,,7/31/2020,7/31/2020
AMEX,e,CDOR,"Condor Hospitality Trust, Inc",,7/31/2020,7/31/2020
AMEX,e,CEI,"Camber Energy, Inc",,7/31/2020,7/31/2020
AMEX,e,CET,Central Securities Corp,,7/31/2020,7/31/2020
AMEX,e,CEV,"EV CA Muni, Income",,7/31/2020,7/31/2020
AMEX,e,CHAQ,Chardan Healthcare Acquisition 2 Corp.,,7/31/2020,7/31/2020
AMEX,e,CHAQ.U,"Chardan Healthcare Acquisition 2 Corp. Units, each consisting of one share of, and one Warrant entitling the holder to purchase one-half of a share of",,7/31/2020,7/31/2020
AMEX,e,CHAQ.WS,"Chardan Healthcare Acquisition 2 Corp. Warrants, entitling the holder thereof to purchase one-half (1/2) of a share of common stock at a price of $11.50 per whole share",,7/31/2020,7/31/2020
AMEX,e,CIK,"Credit Suisse Asset Mgmt, Income Fund, Inc",,7/31/2020,7/31/2020
AMEX,e,CIX,"CompX Intl, Inc",,7/31/2020,7/31/2020
AMEX,e,CKX,"CKX Lands, Inc",,7/31/2020,7/31/2020
AMEX,e,CLM,"Cornerstone Strategic Value Fund, Inc",,7/31/2020,7/31/2020
AMEX,e,CMCL,Caledonia Mining Corp Plc,,7/31/2020,7/31/2020
AMEX,e,CMT,"Core Molding Technologies, Inc",,7/31/2020,7/31/2020
AMEX,e,COHN,"Cohen & Co, Inc",,7/31/2020,7/31/2020
AMEX,e,CPHI,"China Pharma Holdings, Inc",,7/31/2020,7/31/2020
AMEX,e,CQP,Cheniere Energy Partners LP,,7/31/2020,7/31/2020
AMEX,e,CRF,"Cornerstone Total Return Fund, Inc",,7/31/2020,7/31/2020
AMEX,e,CRHM,CRH Medical Corp,,7/31/2020,7/31/2020
AMEX,e,CRMD,"CorMedix, Inc",,7/31/2020,7/31/2020
AMEX,e,CTEK,"CynergisTek, Inc",,7/31/2020,7/31/2020
AMEX,e,CTO,Consolidated-Tomoka Land Co,,7/31/2020,7/31/2020
AMEX,e,CUO,Continental Materials Corp,,5/11/2020,5/11/2020
AMEX,e,CVM,Cel-Sci Corp,,7/31/2020,7/31/2020
AMEX,e,CVR,Chicago Rivet & Machine Co.,,,
AMEX,e,CVU,"CPI Aerostructures, Inc",,7/31/2020,7/31/2020
AMEX,e,DHY,Credit Suisse High Yield BON,,7/31/2020,7/31/2020
AMEX,e,DIT,AMCON Distributing Co,,7/31/2020,7/31/2020
AMEX,e,DLA,"Delta Apparel, Inc",,7/31/2020,7/31/2020
AMEX,e,DMF,Dreyfus Muni Income,,7/31/2020,7/31/2020
AMEX,e,DNN,Denison Mines Corp,,7/31/2020,7/31/2020
AMEX,e,DPW,"DPW Holdings, Inc",,7/31/2020,7/31/2020
AMEX,e,DSS,"Document Security Systems, Inc",,7/31/2020,7/31/2020
AMEX,e,DXF,Dunxin Financial Holdings Ltd ADS,,7/31/2020,7/31/2020
AMEX,e,DXR,Daxor Corp,,7/31/2020,7/31/2020
AMEX,e,EAD,"Wells Fargo, Income Opportunities Fund",,7/31/2020,7/31/2020
